10.0.14.21,10.0.14.20,8,0
10.0.14.20,10.0.14.21,8,0
10.0.11.21,10.0.11.20,1,0
10.0.11.20,10.0.11.21,1,0
10.0.1.21,10.0.1.20,7,0
10.0.1.20,10.0.1.21,7,0
10.0.0.21,10.0.0.20,9,0
10.0.0.20,10.0.0.21,9,0
10.0.18.21,10.0.18.20,4,0
10.0.18.20,10.0.18.21,4,0
10.0.15.21,10.0.15.20,1,0
10.0.15.20,10.0.15.21,1,0
10.0.12.21,10.0.12.20,10,0
10.0.12.20,10.0.12.21,10,0
10.0.2.21,10.0.2.20,2,0
10.0.2.20,10.0.2.21,2,0
10.0.8.21,10.0.8.20,8,0
10.0.8.20,10.0.8.21,8,0
10.0.13.21,10.0.13.20,9,0
10.0.13.20,10.0.13.21,9,0
10.0.5.21,10.0.5.20,4,0
10.0.5.20,10.0.5.21,4,0
10.0.16.21,10.0.16.20,5,0
10.0.16.20,10.0.16.21,5,0
10.0.9.21,10.0.9.20,8,0
10.0.9.20,10.0.9.21,8,0
10.0.3.21,10.0.3.20,2,0
10.0.3.20,10.0.3.21,2,0
10.0.10.21,10.0.10.20,3,0
10.0.10.20,10.0.10.21,3,0
10.0.7.21,10.0.7.20,4,0
10.0.7.20,10.0.7.21,4,0
10.0.6.21,10.0.6.20,9,0
10.0.6.20,10.0.6.21,9,0
10.0.17.21,10.0.17.20,4,0
10.0.17.20,10.0.17.21,4,0
10.0.4.21,10.0.4.20,2,0
10.0.4.20,10.0.4.21,2,0
